A	N	E	M	U	L	B	J	S	O 
80.01457597	63.38295053	150.5039753	38.6139576	8.833038869	57.72835689	1	1	1	10.48321555 
63.16033569	53.47835689	141.0636042	26.63515901	11.66607774	41.78268551	1	1	7.849823322	52.83657244 
111.6837456	99.95141343	188.1086572	76.50176678	43.37411661	80.02738516	1	7.849823322	1	1 
154.5834806	124.9933746	211.0256184	107.6616608	64.12367491	125.2844523	10.48321555	52.83657244	1	1 

A	N	E	M	U	L	B	J	S	O 
0	5.251994852	13.13629344	13.08301158	21.16010296	4.293436293	25.65225225	21.07786358	35.52612613	48.32715573 
5.251994852	1	1	2.925611326	7.73963964	6.17014157	18.99137709	14.06512227	29.65456885	38.83024453 
13.13629344	1	1	19.32149292	35.26975547	34.07863578	43.52509653	44.08391248	56.69124839	61.73616474 
13.08301158	2.925611326	19.32149292	1	5.35006435	7.071685972	12.57606178	7.100514801	24.08622909	34.35508366 
21.16010296	7.73963964	35.26975547	5.35006435	1	15.47413127	2.293178893	1	12.53590734	20.37039897 
4.293436293	6.17014157	34.07863578	7.071685972	15.47413127	1	19.78661519	15.63642214	27.06061776	39.98468468 
25.65225225	18.99137709	43.52509653	12.57606178	2.293178893	19.78661519	1	1	1	3.825868726 
21.07786358	14.06512227	44.08391248	7.100514801	1	15.63642214	1	1	2.320849421	15.27606178 
35.52612613	29.65456885	56.69124839	24.08622909	12.53590734	27.06061776	1	2.320849421	1	1 
48.32715573	38.83024453	61.73616474	34.35508366	20.37039897	39.98468468	3.825868726	15.27606178	1	1 

A	N	E	M	U	L	B	J	S	O 
0	2.111627239	5.562637678	4.769945408	7.02360885	1.49281678	10.80940523	10.80940523	15.90063212	15.86998372 
2.111627239	1	1	1.317833541	1.743846375	2.515946748	7.165405612	7.165405612	13.27928359	13.58126616 
5.562637678	1	1	5.915477445	12.74317594	14.49195479	13.93937362	13.93937362	22.59208888	21.34733263 
4.769945408	1.317833541	5.915477445	1	1.513696006	2.605018676	5.447514606	5.447514606	11.26228331	11.45163299 
7.02360885	1.743846375	12.74317594	1.513696006	1	4.86864285	1	1	6.956326022	7.358825783 
1.49281678	2.515946748	14.49195479	2.605018676	4.86864285	1	9.002250742	9.002250742	13.21650225	12.95283019 
10.80940523	7.165405612	13.93937362	5.447514606	1	9.002250742	1	1	1	1 
10.80940523	7.165405612	13.93937362	5.447514606	1	9.002250742	1	1	1	1 
15.90063212	13.27928359	22.59208888	11.26228331	6.956326022	13.21650225	1	1	1	1 
15.86998372	13.58126616	21.34733263	11.45163299	7.358825783	12.95283019	1	1	1	1 

A	N	E	M	U	L	B	J	S	O 
0	3.18455781	19.86724444	23.90663778	42.83769943	1	51.4349025	51.4349025	68.25999606	59.53850699 
3.18455781	1	1	17.32460114	27.017727	10.22434509	43.97537916	43.97537916	64.25211739	53.76324601 
19.86724444	1	1	26.3005712	60.90683474	59.54185543	66.29623794	66.29623794	100.5489462	87.52747686 
23.90663778	17.32460114	26.3005712	1	12.90880441	20.39216072	21.03171164	21.03171164	40.10695292	30.22789049 
42.83769943	27.017727	60.90683474	12.90880441	1	38.57711247	4.222375419	4.222375419	27.77368525	16.34094938 
1	10.22434509	59.54185543	20.39216072	38.57711247	1	48.45834154	48.45834154	64.23931456	56.77979122 
51.4349025	43.97537916	66.29623794	21.03171164	4.222375419	48.45834154	1	1	8.517234587	1 
51.4349025	43.97537916	66.29623794	21.03171164	4.222375419	48.45834154	1	1	1	1 
