1390 10 (A N E M U L B J S O)

Acanthiza_apicalis  1000000000
Chloropsis_media	0000000010
Chloropsis_moluccensis	0000001011
Chloropsis_sonnerati	0000001111
Chloropsis_venusta	0000000010
Cinclosoma_ajax	0100000000
Cinclosoma_alisteri	1000000000
Cinclosoma_castaneothorax	1000000000
Cinclosoma_castanotum	1000000000
Cinclosoma_cinnamomeum	1000000000
Cinclosoma_clarum	1000000000
Cinclosoma_marginatum	1000000000
Cinclosoma_punctatum	1000000000
Ptilorrhoa_caerulescens	0100000000
Ptilorrhoa_castanonota	0100000000
Ptilorrhoa_geislerorum	0100000000
Ptilorrhoa_leucosticta	0100000000
Cisticola_exilis	1111111111
Cisticola_juncidis	0001010111
Orthotomus_atrogularis	0000001011
Orthotomus_ruficeps	0000011111
Orthotomus_sepium	0000010100
Orthotomus_sericeus	0000001011
Orthotomus_sutorius	0000010101
Prinia_familiaris	0000000110
Prinia_flaviventris	0000001111
Prinia_hodgsonii	0000000001
Prinia_inornata	0000010101
Prinia_polychroa	0000010101
Prinia_rufescens	0000000001
Prinia_superciliaris	0000000011
Climacteris_erythrops	1000000000
Climacteris_picumnus	1000000000
Climacteris_rufus	1000000000
Cormobates_leucophaea	1000000000
Cormobates_placens	0100000000
Cnemophilus_loriae	0100000000
Cnemophilus_macgregorii	0100000000
Loboparadisea_sericea	0100000000
Corcorax_melanorhamphos	1000000000
Struthidea_cinerea	1000000000
Cissa_chinensis	0000001011
Cissa_hypoleuca	0000000001
Cissa_jeffreyi	0000001000
Cissa_thalassina	0000000100
Corvus_bennetti	1000000000
Corvus_compilator	0000001011
Corvus_coronoides	1000000000
Corvus_enca	0001100110
Corvus_florensis	0000010000
Corvus_fuscicapillus	0100000000
Corvus_insularis	0010000000
Corvus_levaillantii	0000000001
Corvus_macrorhynchos	0000011111
Corvus_meeki	0010000000
Corvus_mellori	1000000000
Corvus_moneduloides	0010000000
Corvus_orru	1101000000
Corvus_pectoralis	0000000001
Corvus_splendens	0000000001
Corvus_tasmanicus	1000000000
Corvus_tristis	0100000000
Corvus_typicus	0000100000
Corvus_unicolor	0000100000
Corvus_validus	0001000000
Corvus_violaceus	0001000000
Corvus_woodfordi	0010000000
Crypsirina_temia	0000000101
Dendrocitta_cinerascens	0000001000
Dendrocitta_vagabunda	0000000001
Platysmurus_leucopterus	0000000011
Dasyornis_brachypterus	1000000000
Dasyornis_broadbenti	1000000000
Dasyornis_longirostris	1000000000
Dicaeum_aeneum	0010000000
Dicaeum_agile	0000011111
Dicaeum_aureolimbatum	0000100000
Dicaeum_celebicum	0000100000
Dicaeum_chrysorrheum	0000001111
Dicaeum_cruentatum	0000001011
Dicaeum_dayakorum	0000001000
Dicaeum_everetti	0000001001
Dicaeum_eximium	0010000000
Dicaeum_geelvinkianum	0100000000
Dicaeum_hirundinaceum	1000000000
Dicaeum_igniferum	0000010000
Dicaeum_ignipectus	0000000001
Dicaeum_minullum	0000001111
Dicaeum_monticolum	0000001000
Dicaeum_pectorale	0101000000
Dicaeum_sanguinolentum	0000010100
Dicaeum_trigonostigma	0000001111
Dicaeum_tristrami	0010000000
Prionochilus_maculatus	0000001011
Prionochilus_percussus	0000001111
Prionochilus_thoracicus	0000001011
Prionochilus_xanthopygius	0000001000
Dicrurus_aeneus	0000001011
Dicrurus_annectens	1000001111
Dicrurus_bracteatus	1111000000
Dicrurus_hottentottus	0001111111
Dicrurus_leucophaeus	0000001111
Dicrurus_macrocercus	0000000101
